username,rating,max_rating,rank,total_solved,hard_solved,top_tags,top_languages,contests
Rising-coder,1925,2216,candidate master,605,177,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",191
theRealAshu,1196,1196,newbie,19,1,"implementation,math,dp,binary search,data structures","Java 21,C++20 (GCC 13-64)",11
ashmelev,2480,2672,grandmaster,880,579,"greedy,math,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),GNU C11",39
Usein_Ljusho,,,,0,0,,,0
alskdj,1980,1989,candidate master,452,172,"greedy,math,implementation,data structures,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",40
apld_,1132,1304,newbie,26,0,"implementation,greedy,math,sortings,brute force",C++17 (GCC 7-32),11
FTGUPP,1612,1715,expert,377,61,"math,greedy,implementation,brute force,constructive algorithms","PyPy 3-64,Python 3,C++20 (GCC 13-64)",47
OgradL,1752,1953,expert,302,67,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++14 (GCC 6-32),Mysterious Language",67
NonameDev,,,,1,1,"bitmasks,combinatorics,dp,math,number theory","C++23 (GCC 14-64, msys2)",0
edwardblue,2056,2056,candidate master,197,68,"greedy,math,constructive algorithms,implementation,dp","C++17 (GCC 7-32),C++20 (GCC 13-64),GNU C++11",47
kalimm,2237,2607,master,618,296,"greedy,math,constructive algorithms,implementation,dp","C++17 (GCC 7-32),C++20 (GCC 11-64),PyPy 3-64",263
behzinga,1809,1809,expert,84,33,"greedy,math,implementation,dp,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),Java 21",8
PEIMUDA,3160,3252,legendary grandmaster,715,432,"greedy,math,dp,implementation,brute force","C++14 (GCC 6-32),C++17 (GCC 7-32),C++20 (GCC 11-64)",42
vako_P,2135,2174,master,783,370,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",117
nooooob_KiFaH_HeLaL,2103,2160,master,563,276,"greedy,math,dp,constructive algorithms,brute force","C++17 (GCC 7-32),C++20 (GCC 11-64),C++20 (GCC 13-64)",159
ooo0OQ,778,778,newbie,12,0,"greedy,constructive algorithms,combinatorics,trees,dp",C++17 (GCC 7-32),1
giantsniper,1612,1625,expert,93,12,"greedy,math,constructive algorithms,implementation,brute force","PyPy 3-64,Python 3,C++17 (GCC 7-32)",20
init,1272,1336,pupil,202,4,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2)",32
Heisenberg025,1519,1520,specialist,109,11,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++17 (GCC 7-32)",17
Sofiatpc,1819,1841,expert,552,259,"greedy,math,constructive algorithms,dp,data structures","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",52
x2lol,1252,1359,pupil,98,17,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),Java 21,C++23 (GCC 14-64, msys2)",21
socpite,2477,2477,grandmaster,565,303,"greedy,data structures,math,constructive algorithms,dp","C++20 (GCC 11-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",99
p0tato,2641,2765,international grandmaster,821,346,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++14 (GCC 6-32)",155
kaiichen,1840,1840,expert,279,102,"greedy,math,constructive algorithms,dp,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",39
Shui_Dream,2522,2584,grandmaster,886,762,"dp,data structures,math,greedy,trees","C++14 (GCC 6-32),C++20 (GCC 11-64),C++23 (GCC 14-64, msys2)",15
banibrata2007,1624,1624,expert,110,21,"greedy,math,implementation,constructive algorithms,binary search","PyPy 3-64,C++23 (GCC 14-64, msys2),Java 21",11
friedrice,1591,1591,specialist,93,1,"greedy,math,implementation,constructive algorithms,strings","C++14 (GCC 6-32),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",28
k1suxu,2151,2215,master,725,234,"greedy,math,implementation,brute force,constructive algorithms","C++17 (GCC 9-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",47
Sundar_2022,2004,2004,candidate master,818,353,"greedy,math,constructive algorithms,dp,implementation","C++17 (GCC 7-32),C++14 (GCC 6-32),C++17 (GCC 9-64)",53
Fury109,1203,1203,pupil,11,0,"greedy,math,implementation,constructive algorithms,dp","C++23 (GCC 14-64, msys2),Python 3",2
InDI2k,1662,1801,expert,607,229,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",190
zdc123456,2794,2860,international grandmaster,750,583,"greedy,dp,math,data structures,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",121
worthytacos,1871,1884,expert,591,233,"greedy,math,dp,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",38
angelWGU,,,,0,0,,,0
jisangain,1598,1626,specialist,617,121,"math,greedy,implementation,constructive algorithms,brute force","C++14 (GCC 6-32),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",99
jatinsharma_29,957,957,newbie,28,0,"implementation,math,strings,greedy,brute force",C++17 (GCC 7-32),3
LuoxuanLove,1915,2042,candidate master,575,178,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",86
pushkar_j123,1586,1751,specialist,351,72,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",57
wind_cross,2126,2389,master,544,120,"greedy,math,constructive algorithms,dp,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",88
szh131421,2094,2208,candidate master,268,187,"greedy,math,dp,data structures,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",20
Rinslyr,1330,1330,pupil,60,3,"math,greedy,implementation,constructive algorithms,dp","C++23 (GCC 14-64, msys2),PyPy 3-64,C++20 (GCC 13-64)",12
AnasMaged,2096,2195,candidate master,917,370,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",199
Nack34,1328,1393,pupil,182,12,"greedy,implementation,math,constructive algorithms,dp","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",12
C12RE,1721,1721,expert,75,15,"math,greedy,constructive algorithms,dp,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",7
Andimeo,1830,1976,expert,747,349,"greedy,math,brute force,constructive algorithms,dp","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",116
shaik_umar,1479,1479,specialist,256,31,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",56
adam.jq.xu,2333,2333,international master,535,341,"greedy,math,dp,data structures,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",31
lddlinan,2077,2273,candidate master,775,350,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",156
WAduck,2193,2193,master,130,65,"greedy,math,dp,constructive algorithms,brute force","C++14 (GCC 6-32),GNU C++11,C++17 (GCC 7-32)",18
codelegend,1864,2475,expert,768,265,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 9-64),Haskell,C++17 (GCC 7-32)",247
blingbling23,1415,1503,specialist,56,2,"math,greedy,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++14 (GCC 6-32),Kotlin 1.7",11
zhuyong,1735,1770,expert,167,49,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 13-64),C++14 (GCC 6-32),C++20 (GCC 11-64)",23
MaheshNani2708,,,,0,0,,,0
Dash_09,1377,1377,pupil,95,0,"math,implementation,greedy,brute force,constructive algorithms","C++17 (GCC 9-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",29
Lawali,2182,2526,master,532,255,"greedy,math,constructive algorithms,implementation,data structures","C++17 (GCC 9-64),C++17 (GCC 7-32)",269
proven,2448,2448,grandmaster,742,288,"greedy,data structures,dp,math,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",63
chierin,1468,1468,specialist,36,0,"math,greedy,implementation,constructive algorithms,data structures","PyPy 3-64,Python 3,C++23 (GCC 14-64, msys2)",8
DNR,2266,2266,master,825,446,"greedy,math,dp,brute force,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",8
Nazmul42726,1607,1620,expert,844,162,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",140
SpinSpen,2319,2457,international master,851,364,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++20 (GCC 11-64),C++23 (GCC 14-64, msys2)",66
jatin123258,1911,1911,candidate master,674,505,"greedy,math,dp,data structures,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",15
jgj123,1702,1702,expert,49,4,"math,greedy,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),PyPy 3-64",11
aori.,2270,2270,master,705,258,"greedy,data structures,math,dp,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++20 (GCC 11-64)",31
Richard1211,2403,2403,grandmaster,700,437,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),C++20 (GCC 11-64),C++14 (GCC 6-32)",53
alien5849,2155,2252,master,83,34,"greedy,math,constructive algorithms,brute force,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",19
Land_ER,1785,1785,expert,135,22,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++14 (GCC 6-32),C++20 (GCC 11-64)",28
vj-004,1478,1538,specialist,448,27,"greedy,math,constructive algorithms,implementation,brute force",C++17 (GCC 7-32),76
hos.lyric,3377,3438,legendary grandmaster,868,577,"math,greedy,dp,constructive algorithms,data structures","D,C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",225
DYTOBYTE,1521,1582,specialist,697,103,"math,implementation,greedy,brute force,constructive algorithms","C++17 (GCC 7-32),C++17 (GCC 9-64),C++20 (GCC 13-64)",34
SomilP,1777,1849,expert,792,408,"greedy,math,dp,constructive algorithms,implementation","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",74
Iroha_3856,2078,2324,candidate master,268,80,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),PyPy 3-64",42
WaveBreaker,1674,1738,expert,589,158,"greedy,math,constructive algorithms,brute force,dp","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 11-64)",108
_Mohamed_Nasser_,1435,1435,specialist,719,212,"greedy,math,implementation,dp,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",37
namespace_std,2576,2628,grandmaster,211,131,"greedy,math,dp,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),GNU C++11,C++17 (GCC 7-32)",19
Syanvu1,1652,1874,expert,454,254,"greedy,math,data structures,dp,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",96
alphabeta2025,1569,1646,specialist,581,170,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",71
LiamVilbuni,1413,1413,specialist,140,5,"greedy,implementation,math,dp,sortings","C++23 (GCC 14-64, msys2),PyPy 3-64,Java 21",13
idleduck,1500,1521,specialist,376,51,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",33
enot110,2308,2880,international master,823,438,"math,data structures,implementation,greedy,dp","GNU C++11,C++14 (GCC 6-32),GNU C++",138
worfzyq,1808,1808,expert,344,184,"implementation,dp,math,greedy,brute force","GNU C++,Go,Python 2",22
ljw01,2274,2274,master,311,277,"dp,math,data structures,greedy,graphs","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",7
mk1647,1704,1715,expert,186,3,"implementation,greedy,math,brute force,strings",C++17 (GCC 7-32),32
pro7ven,1948,1948,candidate master,69,16,"greedy,math,brute force,constructive algorithms,implementation",C++20 (GCC 13-64),16
StoneZoo,1723,1723,expert,650,278,"greedy,math,implementation,constructive algorithms,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++20 (GCC 11-64)",28
ykindred,1697,1766,expert,353,119,"greedy,math,constructive algorithms,dp,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",19
FriedChicken,1783,1808,expert,521,112,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",45
Toddlesplash001,1388,1388,pupil,65,2,"implementation,math,greedy,constructive algorithms,sortings","C++17 (GCC 7-32),Python 3,C++14 (GCC 6-32)",7
Poimidorka,2079,2143,candidate master,433,160,"greedy,math,implementation,constructive algorithms,binary search","C++17 (GCC 7-32),C++14 (GCC 6-32),C++17 (GCC 9-64)",61
crazyilian,2276,2327,master,549,146,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++20 (GCC 11-64),C++23 (GCC 14-64, msys2)",89
dlnd_vth,2309,2309,international master,523,281,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 11-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",93
fazliddin2001,2194,2194,master,683,175,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Kotlin 2.2",41
ETO_leader,2552,2620,grandmaster,651,479,"math,greedy,dp,constructive algorithms,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++20 (GCC 11-64)",40
hmt_1,1627,1651,expert,40,5,"greedy,math,implementation,brute force,strings","C++20 (GCC 13-64),C++17 (GCC 7-32)",9
MasterGraphster,1931,1969,candidate master,694,226,"greedy,math,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",89
XiaY,2434,2434,grandmaster,649,555,"dp,math,greedy,data structures,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",25
rachit_08,1507,1507,specialist,379,10,"math,greedy,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 11-64)",57
RussianSpy,1966,1966,candidate master,183,44,"greedy,math,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",35
Adiba123,1012,1069,newbie,139,4,"implementation,math,greedy,strings,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",21
Ajay_2705,1889,1915,expert,853,315,"greedy,math,implementation,constructive algorithms,dp","C++23 (GCC 14-64, msys2),Python 3",71
vncntgii,1267,1267,pupil,66,2,"math,greedy,implementation,brute force,constructive algorithms",C++20 (GCC 13-64),14
3AT3EET,1655,1731,expert,775,287,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",123
Sacha,1959,2044,candidate master,498,248,"greedy,math,dp,constructive algorithms,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",67
Bazzas13,1475,1475,specialist,805,28,"implementation,math,greedy,brute force,strings","C++20 (GCC 11-64),C++17 (GCC 7-32),C++20 (GCC 13-64)",19
longago_06,1902,1903,candidate master,630,115,"math,greedy,constructive algorithms,number theory,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",42
_______________________,2101,2101,master,181,30,"greedy,math,implementation,constructive algorithms,dp","C++17 (GCC 7-32),PyPy 3-64,C++23 (GCC 14-64, msys2)",24
navneeth666,1302,1302,pupil,132,0,"implementation,math,strings,greedy,brute force","C++17 (GCC 7-32),C++14 (GCC 6-32),Java 11",10
jlass_,2425,2425,grandmaster,841,433,"greedy,math,dp,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),PyPy 3-64",94
testing5294,2008,2008,candidate master,43,18,"greedy,math,brute force,dp,constructive algorithms","C++20 (GCC 13-64),C++20 (GCC 11-64),Ruby 3",8
HIJI,1813,1816,expert,38,7,"greedy,math,dp,implementation,brute force","C++20 (GCC 13-64),Python 3",9
S1eGa,1764,1921,expert,550,249,"greedy,math,constructive algorithms,implementation,dp","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++17 (GCC 9-64)",116
nik1009,1745,1745,expert,136,43,"greedy,math,constructive algorithms,implementation,dp","PyPy 3-64,C++23 (GCC 14-64, msys2)",17
bracelona,1242,1311,pupil,136,10,"greedy,math,constructive algorithms,implementation,sortings","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",7
MohammadDallash,1573,1600,specialist,674,100,"greedy,math,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",165
SegFault404,1718,1727,expert,113,22,"greedy,math,constructive algorithms,sortings,implementation","C++23 (GCC 14-64, msys2)",20
aashiumrao,1456,1456,specialist,154,2,"math,greedy,constructive algorithms,implementation,brute force",C++20 (GCC 13-64),21
ninjahamara,1495,1568,specialist,36,2,"greedy,math,implementation,brute force,strings",Java 21,14
ddbjiang,1629,1640,expert,764,110,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),Java 21",52
LUlululu1616,2239,2291,master,623,451,"greedy,math,dp,data structures,constructive algorithms","C++20 (GCC 13-64),C++14 (GCC 6-32),C++23 (GCC 14-64, msys2)",50
userdigitaldevil,1451,1451,specialist,47,3,"math,greedy,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),PyPy 3-64",8
PagalPapita,1520,1670,specialist,273,75,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",38
Tooler_Fu,2049,2061,candidate master,473,192,"greedy,math,implementation,dp,constructive algorithms","C++14 (GCC 6-32),C++17 (GCC 9-64),C++20 (GCC 13-64)",25
chinmaysg,1163,1163,newbie,119,8,"implementation,math,strings,greedy,brute force","C++23 (GCC 14-64, msys2)",3
while_ezez,2332,2643,international master,896,744,"dp,math,greedy,data structures,constructive algorithms","C++20 (GCC 13-64),C++14 (GCC 6-32),C++20 (GCC 11-64)",28
Sugar_fan,2825,3090,international grandmaster,720,361,"greedy,math,brute force,dp,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Rust 2024",96
Krishnadev44,1515,1715,specialist,558,56,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),PyPy 3-64",86
Waiting_For,1634,1634,expert,51,3,"math,greedy,constructive algorithms,implementation,sortings","C++17 (GCC 7-32),C++14 (GCC 6-32)",15
K8He,2148,2165,master,469,341,"dp,greedy,math,data structures,constructive algorithms","C++20 (GCC 13-64),C++14 (GCC 6-32),C++23 (GCC 14-64, msys2)",20
BenjaR,2073,2207,candidate master,259,125,"greedy,implementation,math,brute force,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),PyPy 3-64",181
n.sundar15022006,1536,1536,specialist,30,2,"math,implementation,greedy,constructive algorithms,dp","Java 21,Python 3,PyPy 3-64",7
X_Luo,2077,2077,candidate master,102,31,"greedy,math,brute force,implementation,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),Python 3",18
swehoneycodes,1920,1973,candidate master,883,247,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),PyPy 3-64",82
olekch,1807,1857,expert,109,30,"greedy,math,constructive algorithms,dp,implementation","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",20
wii,2137,2137,master,510,203,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 11-64),C++14 (GCC 6-32),C++17 (GCC 7-32)",57
TianyiWei,2242,2242,master,511,318,"greedy,math,constructive algorithms,dp,data structures","C++17 (GCC 7-32),C++14 (GCC 6-32),C++20 (GCC 13-64)",38
abhijain565aj,1912,1991,candidate master,588,206,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",106
ting39,1879,2119,expert,230,58,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 11-64),C++17 (GCC 7-32),C++20 (GCC 13-64)",47
CutSandstone,2060,2060,candidate master,731,318,"greedy,math,implementation,dp,brute force","C++20 (GCC 13-64),C++20 (GCC 11-64),Java 17",31
TitanMind,1304,1350,pupil,40,1,"math,greedy,implementation,brute force,sortings","C++17 (GCC 7-32),C++14 (GCC 6-32)",29
cf_daddy,1999,2070,candidate master,48,9,"greedy,math,dp,brute force,implementation",C++20 (GCC 13-64),10
wiizard02,1494,1494,specialist,217,14,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++17 (GCC 7-32),Kotlin 1.7",34
wyswys,1464,1464,specialist,131,4,"math,greedy,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",30
quasain,1708,1708,expert,40,0,"math,greedy,constructive algorithms,implementation,dp",C++17 (GCC 7-32),13
HJ5623,1473,1473,specialist,729,295,"greedy,math,implementation,constructive algorithms,dp","C++17 (GCC 9-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",22
VasanthMM,1470,1470,specialist,67,0,"math,implementation,greedy,strings,brute force","C++23 (GCC 14-64, msys2),Java 21,GNU C11",16
Sickboy77_1,1608,1608,expert,229,23,"implementation,math,greedy,brute force,constructive algorithms","C++17 (GCC 7-32),Python 3,Java 21",16
acidLemon,1992,1992,candidate master,747,412,"greedy,math,data structures,implementation,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",173
lethan3,2415,2506,grandmaster,718,324,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 13-64),PyPy 3-64,Kotlin 1.7",69
Dduo,1486,1513,specialist,525,27,"greedy,math,implementation,brute force,constructive algorithms","Java 8,Java 21,C++20 (GCC 13-64)",26
JustN,2213,2347,master,473,165,"implementation,dp,greedy,math,constructive algorithms","GNU C++,GNU C++11,C++14 (GCC 6-32)",109
warrior18,1781,1783,expert,457,124,"greedy,math,dp,implementation,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",21
kaathe,1922,1997,candidate master,239,133,"greedy,math,dp,data structures,implementation",C++17 (GCC 7-32),26
SATD_test,1548,1580,specialist,63,3,"greedy,math,constructive algorithms,implementation,sortings","C++23 (GCC 14-64, msys2)",18
pusheen_1024,1686,1698,expert,792,107,"greedy,math,implementation,constructive algorithms,brute force","PyPy 3-64,C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",58
milisav,2583,2682,grandmaster,583,292,"greedy,math,constructive algorithms,data structures,dp","C++17 (GCC 7-32),C++20 (GCC 11-64),C++20 (GCC 13-64)",97
IloveKaneki,1446,1446,specialist,24,0,"implementation,greedy,math,dp,two pointers","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),PyPy 3-64",6
lihaochen,1699,1699,expert,556,373,"greedy,math,dp,data structures,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",8
gloria_mundi,2817,2870,international grandmaster,835,176,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",43
CHYYYY,2206,2320,master,618,224,"greedy,math,constructive algorithms,dp,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++20 (GCC 11-64)",69
qiuzx,3340,3418,legendary grandmaster,1074,521,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),PyPy 3-64,C++14 (GCC 6-32)",80
RgZg_LnEn,1581,1648,specialist,394,68,"greedy,math,implementation,constructive algorithms,brute force","PyPy 3-64,Python 3,C++20 (GCC 13-64)",28
FuriousDeathstar,1543,1543,specialist,256,88,"greedy,math,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",27
bluerar,1919,2163,candidate master,633,398,"greedy,math,dp,constructive algorithms,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",111
MayankBhakat,1903,1903,candidate master,720,449,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",161
monika0107,1357,1357,pupil,21,2,"math,greedy,constructive algorithms,implementation,strings",Java 8,6
zakI98,2064,2064,candidate master,546,372,"greedy,math,dp,data structures,brute force","C++23 (GCC 14-64, msys2),PyPy 3",24
XiangXunyi,2196,2196,master,290,180,"dp,math,greedy,data structures,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",25
xosqedemrufo,1763,1826,expert,923,192,"math,greedy,implementation,dp,brute force","C++23 (GCC 14-64, msys2),Python 3,PyPy 3-64",22
Ruthvik2835,1866,2112,expert,762,353,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",179
ali2005_syr,2166,2415,master,790,378,"math,greedy,dp,data structures,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",38
hrhuynguyen,1640,1640,expert,100,3,"greedy,implementation,math,constructive algorithms,brute force","Java 11,PyPy 3-64,Python 3",20
sidant,1545,1545,specialist,159,1,"greedy,math,implementation,sortings,brute force","C++23 (GCC 14-64, msys2),Python 3,Kotlin 2.2",18
min_inf,2745,2864,international grandmaster,247,151,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++14 (GCC 6-32)",24
_iv,2214,2214,master,109,51,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),PyPy 3-64",17
SOA2024,,,,1,0,"greedy,sortings","C++23 (GCC 14-64, msys2)",0
meomeogaugau,1745,1745,expert,187,43,"greedy,implementation,math,brute force,dp","C++14 (GCC 6-32),C++20 (GCC 13-64),C++17 (GCC 7-32)",37
ahmed-07,1458,1535,specialist,577,133,"greedy,math,implementation,dp,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",41
_icy_,1847,1847,expert,624,151,"greedy,math,implementation,constructive algorithms,brute force","PyPy 3-64,C++20 (GCC 11-64),C++23 (GCC 14-64, msys2)",64
Aryan73,1397,1405,pupil,29,0,"math,implementation,greedy,two pointers,dp","Python 3,Kotlin 1.7,C++23 (GCC 14-64, msys2)",10
katyaporay,2617,2617,international grandmaster,584,255,"greedy,math,constructive algorithms,dp,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 11-64),C++20 (GCC 13-64)",57
NKheyuxiang,2938,2938,international grandmaster,450,330,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),C++17 (GCC 7-32),C++14 (GCC 6-32)",34
